         i         lr    lrdecay          p         wd   accuracy
       438       -1.0        0.2        0.9        0.8       0.43
       439        0.0        0.5        0.0        0.9       0.43
       440        0.0        0.5        0.2        0.0       0.40
       441       -1.0        0.9        0.8        0.1       0.49
       442       -2.0        0.5        0.7        0.8       0.18
       443       -3.0        0.1        0.1        0.6       0.02
       444       -5.0        0.7        0.3        0.7       0.11
       445       -2.0        0.2        0.0        1.0       0.02
       446       -2.0        0.1        0.3        0.5       0.20
       447        0.0        0.3        0.1        0.0       0.51
       448       -2.0        0.6        0.9        1.0       0.28
       449       -1.0        0.3        0.4        0.7       0.09
       450       -2.0        0.9        0.9        0.8       0.43
       451       -1.0        0.4        0.8        0.0       0.26
       452       -2.0        1.0        0.8        0.5       0.43
       453       -5.0        0.7        0.0        0.9       0.27
       454       -5.0        0.9        0.9        0.0       0.07
       455       -1.0        0.1        0.3        0.4       0.11
       456       -5.0        0.1        0.4        0.1       0.04
       457       -5.0        0.7        0.8        0.1       0.16
       458       -4.0        0.2        0.4        0.2       0.01
       459       -3.0        0.6        0.5        0.8       0.16
       460       -2.0        0.8        0.3        0.9       0.32
       461        0.0        0.4        0.4        0.1       0.12
       462       -2.0        0.3        0.6        0.4       0.21
       463       -1.0        0.6        1.0        0.0       0.43
       464        0.0        0.4        0.7        0.8       0.16
       465       -2.0        0.0        0.5        0.2       0.05
       466       -3.0        0.3        0.6        0.8       0.30
       467       -4.0        0.6        0.4        0.8       0.02
       468       -5.0        0.5        0.9        1.0       0.04
       469        0.0        0.3        0.1        0.8       0.12
       470       -2.0        0.0        0.4        0.5       0.00
       471       -4.0        0.8        0.7        0.8       0.03
       472       -1.0        0.0        0.6        0.7       0.16
       473       -3.0        1.0        0.2        0.4       0.52
       474        0.0        0.9        0.8        0.0       0.42
       475       -3.0        0.3        0.0        0.8       0.36
       476       -2.0        0.8        0.1        0.1       0.28
       477       -1.0        0.8        0.9        1.0       0.19
       478       -4.0        0.3        0.1        1.0       0.25
       479       -5.0        0.4        0.8        0.3       0.27
       480       -5.0        0.4        1.0        0.1       0.36
       481       -3.0        0.7        0.3        0.3       0.40
       482       -2.0        0.5        0.5        0.2       0.07
       483        0.0        0.0        0.9        0.4       0.40
       484       -4.0        0.4        0.6        0.3       0.03
       485       -1.0        0.8        0.2        0.4       0.05
       486       -5.0        0.7        0.7        0.5       0.18
       487       -5.0        0.8        0.0        0.9       0.00
       488       -5.0        0.0        0.4        0.4       0.18
       489       -2.0        1.0        0.2        0.8       0.40
       490       -4.0        0.4        0.3        0.1       0.00
       491        0.0        0.4        0.8        0.6       0.24
       492        0.0        0.3        0.0        0.4       0.23
       493       -2.0        0.9        0.0        0.4       0.12
       494       -5.0        0.3        0.5        0.6       0.00
       495       -1.0        0.3        0.4        0.8       0.03
       496       -5.0        0.4        0.6        0.1       0.02
       497       -3.0        0.1        0.7        0.9       0.14
       498        0.0        0.1        0.7        0.5       0.41
       499       -2.0        0.6        1.0        1.0       0.06
       500       -2.0        1.0        0.9        0.2       0.43
       501       -5.0        0.4        0.5        0.6       0.09
       502       -1.0        0.1        0.6        0.4       0.15
       503       -2.0        0.4        0.4        0.2       0.22
       504       -5.0        0.0        0.0        0.0       0.02
       505       -1.0        0.0        1.0        0.3       0.00
       506       -5.0        0.8        0.5        0.3       0.08
       507       -3.0        0.1        0.6        0.9       0.09
       508        0.0        0.0        0.8        0.8       0.44
       509        0.0        0.3        0.2        0.1       0.40
       510       -1.0        0.4        0.1        0.3       0.05
       511       -3.0        0.4        0.4        0.6       0.21
       512       -3.0        0.3        0.4        0.9       0.16
       513       -3.0        0.4        0.2        0.1       0.22
       514        0.0        1.0        1.0        0.9       0.36
       515       -2.0        0.0        0.3        0.6       0.25
       516       -3.0        0.9        0.0        0.8       0.09
       517       -3.0        0.2        0.0        0.8       0.13
       518       -3.0        0.6        0.7        0.3       0.11
       519       -1.0        0.3        0.7        0.0       0.35
       520       -5.0        0.4        0.0        1.0       0.00
       521       -2.0        0.1        0.1        0.8       0.04
       522       -1.0        0.8        0.7        0.5       0.42
       523       -4.0        0.9        0.8        0.1       0.07
       524       -5.0        0.2        0.2        0.5       0.03
       525       -3.0        1.0        0.1        0.1       0.58
       526       -2.0        0.1        0.8        0.3       0.15
       527       -4.0        0.5        0.4        0.7       0.07
       528        0.0        0.3        1.0        0.9       0.07
       529       -5.0        0.1        0.2        0.4       0.02
       530       -3.0        1.0        0.5        1.0       0.43
       531       -5.0        0.3        0.7        0.9       0.03
       532       -2.0        0.3        0.5        0.8       0.03
       533       -3.0        0.8        0.7        0.9       0.06
       534       -2.0        0.9        0.7        0.3       0.03
       535       -4.0        0.4        0.5        0.3       0.01
       536       -1.0        1.0        0.9        0.8       0.43
       537       -2.0        0.6        0.1        0.5       0.00
       538       -3.0        0.9        0.5        0.4       0.13
       539       -1.0        0.2        0.2        0.5       0.01
       540       -2.0        0.5        0.4        0.1       0.07
       541       -5.0        0.7        0.0        0.8       0.16
       542       -2.0        0.4        0.3        0.7       0.04
       543       -1.0        0.2        0.9        0.1       0.40
       544       -5.0        0.0        1.0        0.6       0.29
       545       -1.0        0.0        1.0        0.4       0.00
       546       -1.0        0.0        0.1        0.6       0.32
       547       -5.0        0.2        0.6        0.9       0.20
       548       -1.0        0.3        0.2        0.2       0.02
       549       -2.0        0.0        0.7        0.4       0.00
       550       -4.0        0.6        0.0        0.0       0.11
       551        0.0        0.3        0.3        0.9       0.38
       552       -4.0        0.6        0.5        0.0       0.31
       553        0.0        0.0        0.6        0.0       0.12
       554        0.0        0.7        0.5        0.1       0.38
       555       -5.0        0.3        0.0        0.0       0.11
       556       -4.0        0.4        0.3        1.0       0.35
       557       -1.0        0.8        0.1        0.8       0.31
       558       -5.0        0.9        0.1        0.9       0.07
       559       -1.0        0.1        0.2        0.2       0.15
       560       -5.0        0.4        0.4        0.4       0.03
       561        0.0        0.7        0.0        0.9       0.40
       562       -4.0        0.1        0.6        0.3       0.03
       563       -2.0        0.7        0.4        0.3       0.06
       564        0.0        0.4        0.7        0.4       0.42
       565       -3.0        0.3        0.9        0.9       0.11
       566       -1.0        0.4        0.3        0.7       0.21
       567       -5.0        0.4        0.2        0.8       0.09
       568        0.0        0.4        0.5        0.6       0.40
       569        0.0        0.0        0.0        0.8       0.43
       570       -4.0        0.3        0.2        0.8       0.05
       571       -4.0        0.1        0.6        0.9       0.00
       572       -5.0        0.0        0.5        0.1       0.24
       573       -3.0        0.0        0.4        0.1       0.18
       574       -5.0        0.0        0.0        0.7       0.10
       575       -2.0        0.8        0.2        0.2       0.03
       576       -1.0        0.2        0.3        0.7       0.01
       577        0.0        0.8        0.5        0.5       0.43
       578       -2.0        0.4        0.4        0.2       0.01
       579       -4.0        0.1        0.2        0.0       0.03
       580       -1.0        0.4        0.9        0.9       0.43
       581       -5.0        0.1        0.0        0.2       0.25
